book_id,title,isbn,genre,publication_date,status,mrp,author_royalty_per_copy,total_copies_sold,total_royalty_earned,royalty_paid,royalty_pending,last_royalty_payout_date,print_partner,available_on,author_id
BK001,Whispers of the Ganges,978-93-5XXXX-01-1,Literary Fiction,2023-06-20,Published & Live,399,35,342,11970,8400,3570,2025-10-15,In-House,"Amazon India, Flipkart, BookLeaf Store",AUTH001
BK002,The Saffron Diaries,978-93-5XXXX-02-8,Non-Fiction / Memoir,2024-01-10,Published & Live,450,42,189,7938,7938,0,2025-12-01,In-House,"Amazon India, BookLeaf Store",AUTH001
BK003,Code & Karma,978-93-5XXXX-03-5,Self-Help / Technology,2023-02-14,Published & Live,350,30,876,26280,21000,5280,2025-09-01,Repro India,"Amazon India, Flipkart, Amazon US, BookLeaf Store",AUTH002
BK004,Startup Sutra,978-93-5XXXX-04-2,Business / Entrepreneurship,2024-05-22,Published & Live,499,48,1203,57744,50000,7744,2025-11-15,In-House,"Amazon India, Flipkart, Amazon US, Amazon UK, BookLeaf Store",AUTH002
BK005,Between Two Temples,978-93-5XXXX-05-9,Historical Fiction,2024-07-05,Published & Live,425,38,67,2546,0,2546,,Epitome Books,"Amazon India, BookLeaf Store",AUTH003
BK006,Debugging Life,978-93-5XXXX-06-6,Self-Help,2023-11-30,Published & Live,299,25,534,13350,10000,3350,2025-08-20,In-House,"Amazon India, Flipkart, BookLeaf Store",AUTH004
BK007,The Last Monsoon,978-93-5XXXX-07-3,Poetry,2024-08-15,Published & Live,199,15,123,1845,1845,0,2025-12-01,In-House,"Amazon India, BookLeaf Store",AUTH004
BK008,Cardamom & Chaos,978-93-5XXXX-08-0,Contemporary Fiction,2023-04-18,Published & Live,375,32,445,14240,14240,0,2025-12-01,Repro India,"Amazon India, Flipkart, BookLeaf Store",AUTH005
BK009,Letters from Lakshadweep,978-93-5XXXX-09-7,Travel / Non-Fiction,2024-03-01,Published & Live,550,55,201,11055,8000,3055,2025-10-15,In-House,"Amazon India, Amazon US, BookLeaf Store",AUTH005
BK010,Turban Tales,978-93-5XXXX-10-3,Humor / Essays,2024-09-10,Published & Live,325,28,88,2464,0,2464,,In-House,"Amazon India, BookLeaf Store",AUTH006
BK011,The Algorithm of Love,978-93-5XXXX-11-0,Romance,2022-12-25,Published & Live,299,25,1567,39175,35000,4175,2025-11-15,Repro India,"Amazon India, Flipkart, Amazon US, BookLeaf Store",AUTH007
BK012,Ctrl+Alt+Delete My Ex,978-93-5XXXX-12-7,Romance / Humor,2024-02-14,Published & Live,350,30,723,21690,18000,3690,2025-10-15,In-House,"Amazon India, Flipkart, BookLeaf Store",AUTH007
BK013,Midnight in Mysore,978-93-5XXXX-13-4,Thriller,,,In Production - Cover Design,,,0,0,0,0,,,AUTH007
BK014,Ghazal of the Forgotten,978-93-5XXXX-14-1,Poetry / Urdu Literature,2024-01-26,Published & Live,250,20,156,3120,3120,0,2025-12-01,Epitome Books,"Amazon India, BookLeaf Store",AUTH008
BK015,Raising Roots,978-93-5XXXX-15-8,Parenting / Non-Fiction,,,In Production - Typesetting,,,0,0,0,0,,,AUTH009
BK016,The Nagpur Notebooks,978-93-5XXXX-16-5,Essays / Memoir,2024-11-05,Published & Live,299,25,34,850,0,850,,In-House,"Amazon India, BookLeaf Store",AUTH009
BK017,Durga's Daughters,978-93-5XXXX-17-2,Literary Fiction,2023-10-15,Published & Live,475,45,612,27540,25000,2540,2025-11-15,Repro India,"Amazon India, Flipkart, Amazon US, BookLeaf Store",AUTH010
BK018,Howrah Nights,978-93-5XXXX-18-9,Crime / Thriller,2025-01-20,Published & Live,399,35,45,1575,0,1575,,In-House,"Amazon India, BookLeaf Store",AUTH010
